QUALITAS                                               DISENO DE REGISTROS                                                 Pagina: 1

Archivo: PV

------------------------------------------------------------------------------------------------------------------------------------
|Att | Descripcion                             | Formato            | Vinculacion        | Observaciones                           |
|358 | IVA X INCISO                            |                    |                    |                                         |
|359 | TOTAL X INCISO                          |                    |                    |                                         |
|360 | POLIZA PROCESADA ART. 492               |                    |                    |                                         |
|361 | USUARIO EMISION AUXILIAR                |                    |                    |                                         |
|362 | FACTOR CALCULO HI                       |                    |                    |                                         |
|363 | BANDERA PARA TCOBER.VEH                 |                    |                    |                                         |
|364 | AUT. PARAISO FISCAL                     |                    |                    |                                         |
|365 | MARCA POL GAP                           |                    |                    |                                         |
|366 | % DE REASEGURO GAP                      |                    |                    |                                         |
|367 | POLIZA GAP                              |                    |                    |                                         |
|368 | POLIZA REF Q                            |                    |                    |                                         |
|369 | CLAVE VIP 00                            |                    |                    |                                         |
|370 | CLAVE VIP 01                            |                    |                    |                                         |
|371 | CLAVE VIP 02                            |                    |                    |                                         |
|372 | AUT. SAP-VIGENTE                        |                    |                    |                                         |
|373 | AUT. SAP-CARRUCEL                       |                    |                    |                                         |
|374 | BT X INC                                |                    |                    |                                         |
|375 | BN X INC                                |                    |                    |                                         |
|376 | BR X INC                                |                    |                    |                                         |
|377 | MAREA PRECOSTO DESG                     |                    |                    |                                         |
|378 | METODO DE PAGO OPL                      |                    |                    |                                         |
|379 | EN WS SE VERIFICA QUE EL AGENTE AVALA LA|                    |                    |                                         |
|    | OPERACION                               |                    |                    |                                         |
|380 | MARCA AGENTE CUES. DIRECTA              |                    |                    |                                         |
|381 | AUT. AGENTES CUES. DIRECTAS PANTALLA CAM|                    |                    |                                         |
|    | BIO DE AGENTES                          |                    |                    |                                         |
|382 | NRO. VEH. ASOCIADO POL                  |                    |                    |                                         |
|383 | AUT. SERIE APP                          |                    |                    |                                         |
|384 | MARCA DE POLIZA DEPURADA A HISTORICO    |                    |                    |                                         |
------------------------------------------------------------------------------------------------------------------------------------
QUALITAS                                               DISENO DE REGISTROS                                                 Pagina: 8

Archivo: PV

------------------------------------------------------------------------------------------------------------------------------------
|Att | Descripcion                             | Formato            | Vinculacion        | Observaciones                           |
------------------------------------------------------------------------------------------------------------------------------------
|385 | TIPO DE NEGOCIO                         |                    |                    |                                         |
|    | (I,FL,C,NE,NF>                          |                    |                    |                                         |
|386 | MARCA CAMBIO AGT                        |                    |                    |                                         |
|    | PANTALLA ABMT900                        |                    |                    |                                         |
|387 | OP.WEB                                  |                    |                    |                                         |
|388 | RECIBOS OP.WEB                          |                    |                    |                                         |
|389 | AUTORIZACION OTRAS OP                   |                    |                    |                                         |
|390 | PRORRATEO GENERAL DE LA RCOBL           |                    |                    |                                         |
|391 | HISTORIAL DE ASEGURADO EN POLIZA        |                    |                    |                                         |
|392 | PAGO DE COMISION COMPLETA PERU          |                    |                    |                                         |
|393 | LIGA DE DOCUMENTO DE REFINANCIAMIENTO   |                    |                    |                                         |
|394 | AUT. P/EMITIR PERSONA SUJETA A REVISION |                    |                    |                                         |
|395 | AUT. P/EMITIR PERSONAS NO ASEGURABLES   |                    |                    | COSTA RICA                              |
|396 | BLOQUEO DE POLIZAS                      |                    |                    |                                         |
|    | (SISTEMA.USUARIO.FECHA.HORA)            |                    |                    |                                         |
|397 | ID_NEGOCIO (QNEGOCIOS)                  |                    |                    |                                         |
|398 | POL. EMITIDAS VIA COBRANZA DELEGADA     |                    |                    |                                         |
|399 | MARCA EMISION RC AGENTES                |                    |                    |                                         |
|400 | REG. ENT. EMISION RC AGENTES            |                    |                    |                                         |
|401 | USO DE RETRO EN EMISION RC AGENTES      |                    |                    |                                         |
|402 | POL. CON SUSTITUCION DE ASEGURADO       |                    |                    |                                         |
|403 | MARCA SOAT (PERU)                       |                    |                    |                                         |
|404 | POLIZA Q REFERIDA CON SOAT              |                    |                    |                                         |
|405 | GRABA EN POLIZA AUT. RET. SOAT          |                    |                    |                                         |
|406 | TIPO DE CERTIFICADO SOAT                |                    |                    |                                         |
|407 | CERTIFICADO SOAT                        |                    |                    |                                         |
|408 | BON.TEC. CONTINGENCIA                   |                    |                    |                                         |
|409 | MONTO BON.TEC. CONTINGENCIA             |                    |                    |                                         |
|410 | AUT. OFICINAS ODQ PARA EXCEPCIONES      |                    |                    |                                         |
|411 | NO. DE POLIZA A REEXPEDIR               |                    |                    |                                         |
|412 | NO. DE INCISO PARA QNEGOCIOS            |                    |                    |                                         |
|413 | EXCEPCION EMPLEADA QNEGOCIOS            |                    |                    |                                         |
|414 | PROVEEDOR GENERAL FLOTILLA              |                    |                    |                                         |
|415 | NO. DIRECCION ASEGURADO UNICO           |                    |                    |                                         |
|416 | RFC NORMALIZADO ASEGURADO UNICO         |                    |                    |                                         |
|417 | POL. SUSTITUIDA ASEGURADO UNICO         |                    |                    |                                         |
|418 | INCISO PROV. ASISTENCIA SATELITAL       |                    |                    |                                         |
|419 | MARCA DE PRIMA INSUFICIENTE             |                    |                    |                                         |
|420 | FECHAS POR AO                           |                    |                    |                                         |
|421 | IMPORTE PN POR ANO M.N.                 |                    |                    |                                         |
|422 | IMPORTE PN POR ANO M.E.                 |                    |                    |                                         |
|423 | PROCESADO (PMAS DIFERIDAS)              |                    |                    |                                         |
|424 | POL. REFERIDA A:                        |                    |                    |                                         |
|425 | POLIZAS REFERIDAS                       |                    |                    |                                         |
|426 | LIBRE                                   |                    |                    |                                         |
|427 | LIBRE                                   |                    |                    |                                         |
|428 | LIBRE                                   |                    |                    |                                         |
|429 | ENDOSO CAMBIO DE FORMA DE PAGO          |                    |                    |                                         |
|430 | DIRECCION CONTRATANTE                   |                    |                    |                                         |
|431 | GASTOS DE EXPEDICION PERU               |                    |                    |                                         |
|432 | BANDERA CAMBIO DE FORMA DE PAGO SIN RF  |                    |                    |                                         |
|433 | MARCA POLIZA RC CONTRACTUAL             |                    |                    |                                         |
|434 | POLIZA DE REFERENCIA RC CONTRACTUAL     |                    |                    |                                         |
|435 | ENDOSO REFERENCIA RC CONTRACTUAL        |                    |                    |                                         |
|436 | INCISO REFERENCIA RC CONTRACTUAL        |                    |                    |                                         |
|437 | FEC.EMI REFERENCIA RC CONTRACTUAL       |                    |                    |                                         |
|438 | FEC.DESDE REFERENCIA RC CONTRACTUAL     |                    |                    |                                         |
------------------------------------------------------------------------------------------------------------------------------------
QUALITAS                                               DISENO DE REGISTROS                                                 Pagina: 9

Archivo: PV

------------------------------------------------------------------------------------------------------------------------------------
|Att | Descripcion                             | Formato            | Vinculacion        | Observaciones                           |
------------------------------------------------------------------------------------------------------------------------------------
|439 | FEC. HASTA REFERENCIA RC CONTRACTUAL    |                    |                    |                                         |
|440 | TIPO POLIZA RC CONTRACTUAL              |                    |                    |                                         |
|441 | TIPO DOC RC CONTRACTUAL                 |                    |                    |                                         |
|442 | REC.SUBSECUENTE (BONTECxINC)            |                    |                    |                                         |
|443 | REC.SUBSECUENTE (BONTECxINC)            |                    |                    |                                         |
|444 | SUBTOTAL                                |                    |                    |                                         |
|445 | DERECHO POR ANIO M.N.                   |                    |                    |                                         |
|446 | DERECHO POR ANIO USD                    |                    |                    |                                         |
|447 | ASEGURADO UNICO                         |                    |                    |                                         |
|448 | PROGRAMA QUE EJECTUA EL GRABADO         |                    |                    |                                         |
|449 | USUARIO DE LINUX                        |                    |                    |                                         |
|450 | AUT. P/EMITIR ASEG. ALTO RIESGO         |                    |                    |                                         |
|451 | PRIMA ANUAL ANZEN-TOYTA                 |                    |                    |                                         |
|452 | RF ANZEN-TOYTA                          |                    |                    |                                         |
|453 | BON.NOR ANZEN-TOYTA                     |                    |                    |                                         |
|454 | BON.REC ANZEN-TOYTA                     |                    |                    |                                         |
|455 | BON.TEC ANZEN-TOYTA                     |                    |                    |                                         |
|456 | REF. A INCISOS P/C ORIGINAL (RC CONT)   |                    |                    |                                         |
|457 | AUT. SERIES CANCELADAS                  |                    |                    |                                         |
|458 | MARCA DE ENVIOA A ARMOR DATOS DOC       |                    |                    |                                         |
|459 | BANDERA PARA CALCULO GTOS. DE EXP.      |                    |                    |                                         |
|460 | MARCA ENNVIO A ARMOR PERF. DECLARATIVO  |                    |                    |                                         |
------------------------------------------------------------------------------------------------------------------------------------
